Orcish horde
CavalryUnit,Raider,100
RangedUnit,Spearman,100
CommanderUnit,Gul´dan,180
CavalryUnit,Raider,100
RangedUnit,Spearman,100
CavalryUnit,Raider,100
RangedUnit,Spearman,100
CavalryUnit,Raider,100
RangedUnit,Spearman,100
CavalryUnit,Raider,100
RangedUnit,Spearman,100
CavalryUnit,Raider,100
RangedUnit,Spearman,100
CavalryUnit,Raider,100
RangedUnit,Spearman,100
CavalryUnit,Raider,100
RangedUnit,Spearman,100
CavalryUnit,Raider,100
RangedUnit,Spearman,100
CavalryUnit,Raider,100
RangedUnit,Spearman,100
RangedUnit,Spearman,100
RangedUnit,Spearman,100
RangedUnit,Spearman,100
RangedUnit,Spearman,100
RangedUnit,Spearman,100
RangedUnit,Spearman,100
RangedUnit,Spearman,100
RangedUnit,Spearman,100
RangedUnit,Spearman,100
RangedUnit,Spearman,100
